COUNTRY,SYMBOLS,YEAR,production|Copper|Mine|tonnes
World,OWID_WRL,1900,495000
World,OWID_WRL,1901,526000
World,OWID_WRL,1902,555000
World,OWID_WRL,1903,596000
World,OWID_WRL,1904,660000
World,OWID_WRL,1905,713000
World,OWID_WRL,1906,724000
World,OWID_WRL,1907,721000
World,OWID_WRL,1908,744000
World,OWID_WRL,1909,828000
World,OWID_WRL,1910,858000
World,OWID_WRL,1911,890000
World,OWID_WRL,1912,1000000
World,OWID_WRL,1913,996000
World,OWID_WRL,1914,938000
World,OWID_WRL,1915,1060000
World,OWID_WRL,1916,1420000
World,OWID_WRL,1917,1430000
World,OWID_WRL,1918,1430000
World,OWID_WRL,1919,994000
World,OWID_WRL,1920,959000
World,OWID_WRL,1921,558000
World,OWID_WRL,1922,884000
World,OWID_WRL,1923,1270000
World,OWID_WRL,1924,1360000
World,OWID_WRL,1925,1530000
World,OWID_WRL,1926,1510000
World,OWID_WRL,1927,1520000
World,OWID_WRL,1928,1730000
World,OWID_WRL,1929,1950000
World,OWID_WRL,1930,1610000
World,OWID_WRL,1931,1400000
World,OWID_WRL,1932,909000
World,OWID_WRL,1933,1050000
World,OWID_WRL,1934,1280000
World,OWID_WRL,1935,1500000
World,OWID_WRL,1936,1720000
World,OWID_WRL,1937,2290000
World,OWID_WRL,1938,1990000
World,OWID_WRL,1939,2130000
World,OWID_WRL,1940,2400000
World,OWID_WRL,1941,2480000
World,OWID_WRL,1942,2590000
World,OWID_WRL,1943,2620000
World,OWID_WRL,1944,2460000
World,OWID_WRL,1945,2110000
World,OWID_WRL,1946,1780000
World,OWID_WRL,1947,2130000
World,OWID_WRL,1948,2210000
World,OWID_WRL,1949,2140000
World,OWID_WRL,1950,2380000
World,OWID_WRL,1951,2490000
World,OWID_WRL,1952,2570000
World,OWID_WRL,1953,2600000
World,OWID_WRL,1954,2640000
World,OWID_WRL,1955,2900000
World,OWID_WRL,1956,3200000
World,OWID_WRL,1957,3300000
World,OWID_WRL,1958,3190000
World,OWID_WRL,1959,3430000
World,OWID_WRL,1960,3940000
World,OWID_WRL,1961,4090000
World,OWID_WRL,1962,4220000
World,OWID_WRL,1963,4290000
World,OWID_WRL,1964,4450000
World,OWID_WRL,1965,4660000
World,OWID_WRL,1966,4580000
World,OWID_WRL,1967,4630000
World,OWID_WRL,1968,5010000
World,OWID_WRL,1969,5520000
Albania,ALB,1970,6000
Algeria,DZA,1970,574
Argentina,ARG,1970,461
Australia,AUS,1970,157790
Austria,AUT,1970,2262
Bolivia,BOL,1970,8700
Brazil,BRA,1970,3920
Bulgaria,BGR,1970,42000
Canada,CAN,1970,610281
Chile,CHL,1970,685600
Congo,COG,1970,269
Cuba,CUB,1970,400
Democratic Republic of Congo,COD,1970,385679
East Germany,OWID_GDR,1970,18000
Ecuador,ECU,1970,510
Finland,FIN,1970,30900
France,FRA,1970,250
Haiti,HTI,1970,4848
India,IND,1970,9700
Indonesia,IDN,1970,0
Ireland,IRL,1970,8281
Israel,ISR,1970,10988
Italy,ITA,1970,2300
Japan,JPN,1970,119513
Kenya,KEN,1970,79
Mauritania,MRT,1970,1950
Mexico,MEX,1970,61012
Morocco,MAR,1970,3172
Myanmar,MMR,1970,70
Namibia,NAM,1970,23000
New Zealand,NZL,1970,47
Nicaragua,NIC,1970,3029
North Korea,PRK,1970,13000
Norway,NOR,1970,19947
Papua New Guinea,PNG,1970,0
Peru,PER,1970,220225
Philippines,PHL,1970,160292
Poland,POL,1970,83000
Portugal,PRT,1970,3762
South Africa,ZAF,1970,144200
South Korea,KOR,1970,1639
Spain,ESP,1970,9522
Sweden,SWE,1970,26283
Taiwan,TWN,1970,2500
Turkey,TUR,1970,31100
USSR,OWID_USS,1970,925000
United Kingdom,GBR,1970,0
United States,USA,1970,1560038
West Germany,OWID_GFR,1970,1477
World,OWID_WRL,1970,5900000
Yugoslavia,OWID_YGS,1970,90808
Zambia,ZMB,1970,684100
